,"J-S div (O-AR, 0)","J-S div (O-PR, 0)","J-S div (O-AR, 1)","J-S div (O-PR, 1)","Pearson (O-AR, 0)","Pearson (O-PR, 0)","Pearson (O-AR, 1)","Pearson (O-PR, 1)","Spearman (O-AR, 0)","p-value (O-AR, 0)","Spearman (O-PR, 0)","p-value (O-PR, 0)","Spearman (O-AR, 1)","p-value (O-AR, 1)","Spearman (O-PR, 1)","p-value (O-PR, 1)","RBO (O-AR, 0, red)","RBO (O-PR, 0, red)","RBO (O-AR, 1, red)","RBO (O-PR, 1, red)","RBO (O-AR, 0, syn)","RBO (O-PR, 0, syn)","RBO (O-AR, 1, syn)","RBO (O-PR, 1, syn)"
128127,0.19540955800816717,0.8739812103242536,3.0841180833437534,0.011573569605171034,0.6937569452086715,0.7012817623912776,0.7276164596467668,0.7457061359847331,0.46638771929550865,1.5016325513073745e-268,0.4673962861198514,7.3890445021069145e-270,0.5756564299062571,0.0,0.6163096874683874,0.0,0.7136249880625545,0.7155112868618939,0.7420340069079516,0.7576654012091323,0.61621876325218,0.6209154336304098,0.6421042827554034,0.6585904078182767
128632,0.010245908045006264,0.06463007106331922,0.019421352521256506,0.014584242227064136,0.8147620086225952,0.8430138905221221,0.7945489538313039,0.8367970363150132,0.8184901151076045,0.0,0.8463169973406798,0.0,0.8026547041381882,0.0,0.8412742226429688,0.0,0.775987434920916,0.7902263008398223,0.7561256087065292,0.7861258740890267,0.7935428810507434,0.8090453744422113,0.7888308272918424,0.8119330576673212
129028,3.6149300638498816,3.2950631924863947,0.1415815381504189,0.05725507190491874,0.7370108702339351,0.7528287874850726,0.7369048870839294,0.7802982793979416,0.5719006110040243,0.0,0.5720467678418706,0.0,0.6692308962092358,0.0,0.6886832567953302,0.0,0.7411896994491447,0.7475345714577607,0.7549760646262914,0.7764735535499693,0.6418140226720433,0.6446343811714853,0.6761878532726701,0.6822434540327148
130013,2.8428547410215304,0.04350202559710174,0.0718299569700802,0.003919147761403439,0.6763164248362403,0.6873849728396225,0.4845605219975913,0.471804718974635,0.5806412950016517,0.0,0.583373276070931,0.0,0.3337247799409912,2.395662450739757e-130,0.34611281906051267,1.0685404042592265e-140,0.7257912698185679,0.7367761721102563,0.6501020896952763,0.6537045083088237,0.6590929928427967,0.6584184512873231,0.5810332056875654,0.5830716739225482
130316,0.023264734148095705,0.005274668918726095,0.015643881989612952,0.1524323189968866,0.7637951112730169,0.8195096693958279,0.6657636783331549,0.7222208715897888,0.7630118895284755,0.0,0.8192869288674771,0.0,0.5789762863910515,0.0,0.6487540316461612,0.0,0.7639611864447646,0.795962755208372,0.7252872473925381,0.7526833224733327,0.7433584711629894,0.7678218748295806,0.6555586919436501,0.6765935375469491
131217,0.04436276886611376,0.0805865461830086,0.07418522610307118,0.05922429542255329,0.8492692957189965,0.8593153314854661,0.7779579521399371,0.8222047743642578,0.7717632591905302,0.0,0.7921366559094661,0.0,0.7784282986891319,0.0,0.8087057711962309,0.0,0.8092202874034793,0.8168450204106512,0.7728167569711907,0.799321676794069,0.727477065850795,0.7383710997458057,0.7376140272315233,0.755691921765416
131722,0.0323514660870928,0.006067248609931854,0.04316589730015111,0.0362351667215922,0.8227106944306141,0.8217877408731105,0.7278780375258869,0.7807191224570152,0.8053306204372247,0.0,0.8219588720143547,0.0,0.7240500687060026,0.0,0.7803500655500025,0.0,0.7981700481870673,0.796776116189686,0.7484772291111128,0.776158207305884,0.7434656692403926,0.7535688774553626,0.7077754095213189,0.7436355341623788
133019,0.014964414059339147,0.01561500301989419,0.0190929633029055,0.08077834686783734,0.8155705753668877,0.8472524523799853,0.7714770343623272,0.7953857955078015,0.8144361485134458,0.0,0.8527569127022765,0.0,0.7765497638939904,0.0,0.7950379436415177,0.0,0.78538072190501,0.8001539843867944,0.7579700664034781,0.7791635661973444,0.7879454596735745,0.8147609569840282,0.7652419968717399,0.7654072591449295
133928,0.008115466893386703,0.022319548277526823,0.025037158091072875,0.008860625941941544,0.8360177935578815,0.868247909946202,0.6961693719730274,0.7244569113670574,0.8503773155830926,0.0,0.878785578255423,0.0,0.549162277326491,0.0,0.5783512152940485,0.0,0.7945083942626847,0.8177412584554422,0.7270332443795434,0.7432640493236243,0.7968936817769786,0.8193324015770486,0.6346797469442335,0.6479917543555984
135225,0.026909539206831645,0.008239689704738401,0.08970458902126002,0.0243659793605017,0.7902459416708559,0.8003862059870801,0.7699979076011572,0.7729801227553954,0.7777973645838945,0.0,0.8029850101994004,0.0,0.7189380957655238,0.0,0.7389875149355004,0.0,0.7790149022301999,0.7857014063932359,0.7693957422692129,0.7756759812120828,0.7359457967256376,0.7513376659999257,0.7033595354829436,0.7109989137374201
135932,0.19189182789863168,0.09320944477958491,0.005536858665703149,0.011043573131325828,0.8225606695287834,0.7863757894064328,0.8026385514960009,0.8089023140271947,0.8184908461476337,0.0,0.7696639389785574,0.0,0.7446327468733097,0.0,0.7446800274512011,0.0,0.798206273649644,0.782901950230468,0.7870974002074411,0.790811956544146,0.7522179597668041,0.7219272596392103,0.7143584884830303,0.7090490459461972
